,maid,datetimestamp,latitude,longitude,homegeohash9,workgeohash,Home_Distance,Work_Distance
7026,11d11119-cef3-4a27-a3b6-55324b4983d7,12/10/2023 22:45,-38.38211,142.48488,r1r0wtptp,r1r0wtp,7.857307311,7.772114038
7027,11d11119-cef3-4a27-a3b6-55324b4983d7,12/3/2023 8:38,-38.32879,143.78338,r1r0wtptp,r1r0wtp,7.857307311,7.772114038
7028,11d11119-cef3-4a27-a3b6-55324b4983d7,12/25/2023 3:02,-37.8491,145.13455,r1r0wtptp,r1r0wtp,7.857307311,7.772114038
7029,11d11119-cef3-4a27-a3b6-55324b4983d7,12/3/2023 17:05,-37.78623,144.8309,r1r0wtptp,r1r0wtp,7.857307311,7.772114038
7120,12016ea0-d2c5-495a-b2e8-87162d8339cf,12/12/2023 20:58,-37.81438,144.9492,r1r0vbgbg,r1r0fkh,4.086599478,9.505996999
7121,12016ea0-d2c5-495a-b2e8-87162d8339cf,12/18/2023 23:49,-37.81438,144.94924,r1r0vbgbg,r1r0fkh,4.086599478,9.505996999
7122,12016ea0-d2c5-495a-b2e8-87162d8339cf,12/15/2023 12:45,-37.81422,144.94923,r1r0vbgbg,r1r0fkh,4.086599478,9.505996999
7123,12016ea0-d2c5-495a-b2e8-87162d8339cf,12/16/2023 3:21,-37.81424,144.94918,r1r0vbgbg,r1r0fkh,4.086599478,9.505996999
7148,1214dc82-deb2-4b3c-b457-7ba3ce489db5,12/8/2023 13:08,-37.80449,145.0476,r1r0gstst,r1r0t12,4.840705001,4.502038466
7149,1214dc82-deb2-4b3c-b457-7ba3ce489db5,12/4/2023 10:04,-37.8044,145.04757,r1r0gstst,r1r0t12,4.840705001,4.502038466
7150,1214dc82-deb2-4b3c-b457-7ba3ce489db5,12/5/2023 7:54,-37.80446,145.04758,r1r0gstst,r1r0t12,4.840705001,4.502038466
7151,1214dc82-deb2-4b3c-b457-7ba3ce489db5,12/10/2023 15:15,-37.80854,144.96801,r1r0gstst,r1r0t12,4.840705001,4.502038466
7436,12cfff3b-3f79-41dc-b2f1-93dc34cdb69f,12/27/2023 14:09,-34.9114,138.56111,r1r0f2h2h,r1r0bxw,9.397472295,16.60996281
7437,12cfff3b-3f79-41dc-b2f1-93dc34cdb69f,12/30/2023 12:56,-34.6198,138.72457,r1r0f2h2h,r1r0bxw,9.397472295,16.60996281
7438,12cfff3b-3f79-41dc-b2f1-93dc34cdb69f,12/13/2023 0:23,-37.79734,144.84251,r1r0f2h2h,r1r0bxw,9.397472295,16.60996281
7439,12cfff3b-3f79-41dc-b2f1-93dc34cdb69f,12/29/2023 6:12,-34.85536,138.53317,r1r0f2h2h,r1r0bxw,9.397472295,16.60996281
7644,133b1423-f8c0-4a41-a858-b816b5df619e,12/14/2023 3:59,-37.82172,145.17536,r1r0zkckc,r1r1jty,9.802798206,8.326059865
7645,133b1423-f8c0-4a41-a858-b816b5df619e,12/17/2023 2:08,-37.86878,145.14091,r1r0zkckc,r1r1jty,9.802798206,8.326059865
7646,133b1423-f8c0-4a41-a858-b816b5df619e,12/31/2023 23:39,-37.86884,145.14102,r1r0zkckc,r1r1jty,9.802798206,8.326059865
7647,133b1423-f8c0-4a41-a858-b816b5df619e,12/22/2023 0:28,-37.86877,145.14097,r1r0zkckc,r1r1jty,9.802798206,8.326059865
7668,134efe58-f521-4aee-8c50-de8e18c55fb8,12/29/2023 22:50,-37.78807,144.83255,r1r0s8n8n,r1r0km2,5.698539197,8.128726486
7669,134efe58-f521-4aee-8c50-de8e18c55fb8,12/22/2023 23:51,-37.81146,144.80872,r1r0s8n8n,r1r0km2,5.698539197,8.128726486
7670,134efe58-f521-4aee-8c50-de8e18c55fb8,12/22/2023 19:26,-37.81535,144.80733,r1r0s8n8n,r1r0km2,5.698539197,8.128726486
7671,134efe58-f521-4aee-8c50-de8e18c55fb8,12/8/2023 20:46,-37.81536,144.8073,r1r0s8n8n,r1r0km2,5.698539197,8.128726486
7700,136d859d-d16a-491f-99e1-397150ddd51d,12/20/2023 3:49,-37.64493,144.96359,r1r1m3737,r1r1m37,9.982140746,10.20534799
7701,136d859d-d16a-491f-99e1-397150ddd51d,12/31/2023 6:51,-37.64056,144.96427,r1r1m3737,r1r1m37,9.982140746,10.20534799
7702,136d859d-d16a-491f-99e1-397150ddd51d,12/3/2023 9:24,-37.71744,144.82534,r1r1m3737,r1r1m37,9.982140746,10.20534799
7703,136d859d-d16a-491f-99e1-397150ddd51d,12/15/2023 1:48,-37.87466,145.09013,r1r1m3737,r1r1m37,9.982140746,10.20534799
7748,138be994-8014-4e12-9e3f-221e52eb05e2,12/26/2023 6:06,-37.89853,145.1202,r1r0t3n3n,r1r0t3n,5.626272762,4.97961978
7749,138be994-8014-4e12-9e3f-221e52eb05e2,12/3/2023 3:34,-37.8985,145.1202,r1r0t3n3n,r1r0t3n,5.626272762,4.97961978
7750,138be994-8014-4e12-9e3f-221e52eb05e2,12/14/2023 6:26,-37.85527,145.11848,r1r0t3n3n,r1r0t3n,5.626272762,4.97961978
7751,138be994-8014-4e12-9e3f-221e52eb05e2,12/23/2023 19:06,-37.87398,145.15338,r1r0t3n3n,r1r0t3n,5.626272762,4.97961978
7848,13d5d4d4-0a49-4514-9bc5-c183081167cb,12/16/2023 11:09,-37.88486,145.04728,r1r0k6t6t,r1r0z7n,9.125191698,10.13030808
7849,13d5d4d4-0a49-4514-9bc5-c183081167cb,12/8/2023 20:07,-37.9172,145.03716,r1r0k6t6t,r1r0z7n,9.125191698,10.13030808
7850,13d5d4d4-0a49-4514-9bc5-c183081167cb,12/18/2023 16:58,-37.88487,145.04728,r1r0k6t6t,r1r0z7n,9.125191698,10.13030808
7851,13d5d4d4-0a49-4514-9bc5-c183081167cb,12/19/2023 16:45,-37.95447,145.04766,r1r0k6t6t,r1r0z7n,9.125191698,10.13030808
7900,13fbd210-5dc7-4187-bd0e-7aca8ba8f987,12/6/2023 6:42,-37.71597,144.75442,r1r0fkvkv,r1r0fkv,9.497449401,9.505996999
7901,13fbd210-5dc7-4187-bd0e-7aca8ba8f987,12/23/2023 9:03,-37.80965,144.95044,r1r0fkvkv,r1r0fkv,9.497449401,9.505996999
7902,13fbd210-5dc7-4187-bd0e-7aca8ba8f987,12/30/2023 11:02,-37.7102,144.75695,r1r0fkvkv,r1r0fkv,9.497449401,9.505996999
7903,13fbd210-5dc7-4187-bd0e-7aca8ba8f987,12/30/2023 17:06,-37.70368,144.77928,r1r0fkvkv,r1r0fkv,9.497449401,9.505996999
8033,1448dd94-b1ef-413b-a4cd-af9cd1bb651a,12/12/2023 1:34,-37.81663458,145.0470804,r1r0ueses,r1r0fp6,1.543184656,10.65382182
8034,1448dd94-b1ef-413b-a4cd-af9cd1bb651a,12/3/2023 0:00,-37.78824853,144.9311125,r1r0ueses,r1r0fp6,1.543184656,10.65382182
8035,1448dd94-b1ef-413b-a4cd-af9cd1bb651a,12/12/2023 5:56,-37.8166411,145.0470206,r1r0ueses,r1r0fp6,1.543184656,10.65382182
8036,1448dd94-b1ef-413b-a4cd-af9cd1bb651a,12/12/2023 12:35,-37.81661168,145.0470044,r1r0ueses,r1r0fp6,1.543184656,10.65382182
8045,144d162d-4edf-4efa-9a4d-c53707f7cf6e,12/28/2023 5:11,-37.81465401,144.9911187,r1r0fdrdr,r1prekm,8.026621119,34.11965003
8046,144d162d-4edf-4efa-9a4d-c53707f7cf6e,12/15/2023 2:11,-37.94454,145.47913,r1r0fdrdr,r1prekm,8.026621119,34.11965003
8047,144d162d-4edf-4efa-9a4d-c53707f7cf6e,12/1/2023 5:03,-37.94453,145.47914,r1r0fdrdr,r1prekm,8.026621119,34.11965003
8048,144d162d-4edf-4efa-9a4d-c53707f7cf6e,12/23/2023 2:13,-38.03298,145.3452,r1r0fdrdr,r1prekm,8.026621119,34.11965003
8129,147c1605-1ae4-4665-b30d-2a14349cdd9a,12/30/2023 20:21,-37.8856,145.0605,r1r0kzjzj,r1r0kzj,6.179693492,6.719704897
8130,147c1605-1ae4-4665-b30d-2a14349cdd9a,12/25/2023 0:09,-37.8856,145.06058,r1r0kzjzj,r1r0kzj,6.179693492,6.719704897
8131,147c1605-1ae4-4665-b30d-2a14349cdd9a,12/14/2023 7:34,-37.87686,145.00193,r1r0kzjzj,r1r0kzj,6.179693492,6.719704897
8132,147c1605-1ae4-4665-b30d-2a14349cdd9a,12/9/2023 21:25,-37.88563,145.06059,r1r0kzjzj,r1r0kzj,6.179693492,6.719704897
8229,14b8f573-b665-4873-a61b-b8a681365896,12/19/2023 15:21,-37.89624,145.04965,r1r0ktjtj,r1r0kw6,7.44861668,6.840545734
8230,14b8f573-b665-4873-a61b-b8a681365896,12/18/2023 18:05,-37.89632,145.04964,r1r0ktjtj,r1r0kw6,7.44861668,6.840545734
8231,14b8f573-b665-4873-a61b-b8a681365896,12/9/2023 16:41,-37.81733,144.96893,r1r0ktjtj,r1r0kw6,7.44861668,6.840545734
8232,14b8f573-b665-4873-a61b-b8a681365896,12/11/2023 8:14,-37.89628,145.04962,r1r0ktjtj,r1r0kw6,7.44861668,6.840545734
8257,14d51fa3-6e79-48cc-9c9b-d1eeef27c003,12/14/2023 12:38,-37.67685,145.03616,r1r0ejpjp,r1r0ejp,6.634962224,6.16453345
8258,14d51fa3-6e79-48cc-9c9b-d1eeef27c003,12/16/2023 12:29,-37.92222448,145.0314054,r1r0ejpjp,r1r0ejp,6.634962224,6.16453345
8259,14d51fa3-6e79-48cc-9c9b-d1eeef27c003,12/5/2023 4:42,-37.9222357,145.0312678,r1r0ejpjp,r1r0ejp,6.634962224,6.16453345
8260,14d51fa3-6e79-48cc-9c9b-d1eeef27c003,12/10/2023 13:27,-37.67688,145.03604,r1r0ejpjp,r1r0ejp,6.634962224,6.16453345
8265,14d7e1ba-a46e-402c-b67b-c653c38d5f39,12/25/2023 0:57,-37.81338,144.9825,r1r0fsgsg,r1r0use,8.772609032,2.237734651
8266,14d7e1ba-a46e-402c-b67b-c653c38d5f39,12/28/2023 7:17,-37.81328,144.98258,r1r0fsgsg,r1r0use,8.772609032,2.237734651
8267,14d7e1ba-a46e-402c-b67b-c653c38d5f39,12/28/2023 23:59,-37.81335,144.98256,r1r0fsgsg,r1r0use,8.772609032,2.237734651
8268,14d7e1ba-a46e-402c-b67b-c653c38d5f39,12/8/2023 20:17,-37.81321,144.98268,r1r0fsgsg,r1r0use,8.772609032,2.237734651
